NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Toma?s, J., P. Gozalbes, J.A. Raga, and B.J. Godley. 2008. Bycatch of loggerhead sea turtles:
Insights from 14 years of strandings data. Endangered Species Research 5:161­169.",Tomas,ENDANG SPECIES RES,2008,1993,2006,14,marine,United Kingdom,Spain,10.3354/esr00116,NA,NA,1,Use of long-term stranding data to infer bycatch.,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Carlton, J.T., J.K. Thompson, L.E. Schemel, and F.H. Nichols. 1990. Remarkable invasion of San Francisco Bay (California, USA) by the Asian clam Potamocorbula amurensis. I. Introduction and dispersal. Marine Ecology Progress Series 66:81-84.",Carlton,MAR ECOL PROG SER,1990,1975,1988,14,marine/freshwater,USA,USA,10.3354/meps066081,145,6.30,0,When was Potamocorbula maurensis discovered in SF Bay and how has it spread?,"Author says that the time frame is ""1975-date"", making the end date and duration unclear. I chose 1988 as the end date because no year later than 1988 was mentioned or graphed in the paper.",Barner,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Wetzel, P. R., T. Pinion, D. T. Towles, and L. Heisler. 2008. Landscape analysis of tree island head vegetation in water conservation area 3, Florida Everglades. Wetlands 28:276–289.",Wetzel,WETLANDS,2008,1984,1997,14,marine/freshwater,USA,USA,10.1672/07-22.1,5,1.00,,"Landscape analysis of tree island head vegetation in water conservation area 3, Florida Everglades.",None,Robinson,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Schimel,D.,J.Melillo,H.Tian,A.D.Mcguire,D.Kicklighter,T.Kittel,N.Rosenbloom,S.Running,P.Thornton,D.Ojima,W.Pat- ton, R. Kelly, M. Sykes, R. Neilson, and B. Rizzo. 2000. Contribution of increasing CO2 and climate to carbon storage by
ecosystems in the United States. Science 287(5460):2004.",Schimel,SCIENCE,2000,1980,1993,14,terrestrial,Germany,USA,10.1126/science.287.5460.2004,334,25.69,,"Contribution of increasing CO2 and climate to carbon storage by
ecosystems in the United States.",None,Robinson,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Bell, M. L., R. D. Peng, and F. Dominici. 2006. The exposure-response curve for ozone and risk of mortality and the adequacy of current ozone regulations. Environmental Health Perspectives 114(4):532-536.",Bell,ENVIRON HEALTH PERSP,2006,1987,2000,14,terrestrial,USA,USA,10.1289/ehp.8816,104,14.86,0,How do low concentrations of ozone affect human mortality in US urban centers?,NA,Cerny-Chipman,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Berkelmans, R., H. Ferris, M. Tenuta, and A.H.C. van Bruggen. 2003. Effects of long-term crop management on
nematode trophic levels other than plant feeders disappear after 1 year of disruptive soil management. Applied
Soil Ecology 23(3):223–235.",Berkelmans,APPL SOIL ECOL,2003,1988,2001,14,terrestrial,Netherlands,USA,10.1016/S0929-1393(03)00047-7,65,6.50,1,Effects of farm management on nematodes,None,Close,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Blackard, J.A., M.V., Finco, E.H. Helmer, G.R. Holden, M.L. Hoppus, D.M. Jacobs, A.J. Lister, G.G. Moisen, M.D. Nelson, R. Riemann, B. Ruefenacht, D. Salajanu, D.L. Weyermann, K.C. Winterberger, T.J. Brandeis, R.L. Czaplewski, R.E. McRoberts, P.L. Patterson, and R.P. Tycio, 2008, Mapping U.S. forest biomass using national forest inventory data and moderate resolution information, Remote Sensing of Environment, 112,
1658-1677.",Blackard,REMOTE SENS ENVIRON,2008,1990,2003,14,terrestrial,USA,USA,10.1016/j.rse.2007.08.021,61,,0,mapping environment,NA,Rohrer,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Medvigy, D., S.C. Wofsy, J.W. Munger, D.Y. Hollinger, and P.R. Moorcroft, 2009, Mechanistic scaling of ecosystem function and dynamics in space and time: Ecosystem Demography Model Version 2, Journal of Geophysical Research, 114, G01002,
doi:10.1029/2008JG000812.",Medvigy,J GEOPHYS RES,2009,1992,2005,14,terrestrial,USA,North America,10.1029/2008JG000812,50,12.50,0,Creating an ecosystem model for a forest and applying it to two other forests to assess ecosystem function.,"Data come from various sources, runs at least from 1992-2003 or 2005. There may be some data from other published sources from the 1980s.",Cerny-Chipman,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Missouri River Planning: Recognizing and Incorporating Sediment Management,"Johnson, W. C. 2000. Tree recruitment and survival in rivers: influence of hydrological process. Hydrological Processes 14: 3051-3074. Available online at http://onlinelibrary.wiley.com/ doi/10.1002/1099-1085(200011/12)14:16/17%3C3051::AID-HYP134%3E3.0.CO;2-1/ pdf.",Johnson,HYDROL PROCESS,2000,1985,1998,14,terrestrial/freshwater,USA,USA,10.1002/1099-1085(200011/12)14:16/17<3051::AID-HYP134>3.0.CO;2-1,104,,0,Effects of hydrology on tree recruitment,None,Shen,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Lewison, R.L., L.B. Crowder, and D.J. Shaver. 2003. The impact of turtle excluder devices and fisheries closures on loggerhead and Kemp’s ridley strandings in the western Gulf of Mexico. Conservation Biology 17(4):1089­1097.",Lewison,CONSERV BIOL,2003,1986,2000,15,marine,USA,USA,10.1046/j.1523-1739.2003.02057.x,25,,0,sea turtle conservation,NA,Rohrer,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bowen, B.W., A.L. Bass, S. Mei­Chow, M. Bostrom, K.A. Bjorndal, A.B. Bolten, T. Okuyama, B.M. Bolker, S.P. Epperly, E. Lacasella, D.J. Shaver, M.G. Dodd, S.R. Hopkins­Murphy, J.A. Musick, M. Swingle, K. Rankin­Baransky, W.G. Teas, W.N. Witzell, and P.H. Dutton. 2004. Natal homing in juvenile loggerhead turtles (Caretta caretta). Molecular Ecology 13:3797­3808.",Bowen,MOL ECOL,2004,1987,2001,15,marine,USA,Atlantic Ocean,10.1111/j.1365-294X.2004.02356.x,62,6.89,,Natal homing in juvenile loggerhead turtles,None,Robinson,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Dutton, D.L., P.H. Dutton, M. Chaloupka, and R.H. Boulon. 2005. Increase of a Caribbean leatherback turtle Dermochelys coriacea nesting population linked to long­term nest protection. Biological Conservation 126(2):186­194.",Dutton,BIOL CONSERV,2005,1987,2001,15,marine,USA,USA,10.1016/j.biocon.2005.05.013,94,11.75,0,How is nest protection of leather back turtles linked to nesting population increases?,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Watson-Capps, J.J. and J. Mann. 2005. The effects of aquaculture on bottlenose dolphin Tursiops sp. ranging in Shark Bay, Western Australia. Biological Conservation 124:519-526.",Watson-Capps,BIOL CONSERV,2005,1988,2003,15,marine,USA,Australia,10.1016/j.biocon.2005.03.001,16,2.00,1,"The effects of aquaculture on bottlenose dolphin Tursiops sp. ranging in Shark Bay, Western Australia",NA,Hettinger,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Weishampel, J.F., D.A. Bagley, and L.M. Ehrhart. 2004. Earlier nesting by loggerhead sea turtles following sea surface warming. Global Change Biology 10:1424­1427.",Weishampel,GLOBCHANBIO,2004,1989,2003,15,marine,USA,USA,10.1111/j.1365-2486.2004.00817.x,56,,0,earlier nesting by loggerhead turtles in response to sea surface warming,None,Focht,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bowen, B.W., A.L. Bass, L. Soares, and R.J. Toonen. 2005. Conservation implications of complex population structure: Lessons from the loggerhead turtle (Caretta caretta). Molecular Ecology 14(8):2389­2402.",Bowen,MOL ECOL,2005,1989,2003,15,marine,USA,USA/Brazil,10.1111/j.1365-294X.2005.02598.x,93,11.63,0,Conservation implications of complex population structure in sea turtles,NA,Hettinger,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Strayer, D.L. and H.M. Malcom. 2007. Effects of zebra mussels (Dreissena polymorpha) on native bivalves: The beginning of the end or the end of the beginning? Journal of the North American Benthological Society 26(1):111-122.",Strayer,J N AM BENTHOL SOC,2007,1991,2005,15,marine,USA,USA,10.1899/0887-3593(2007)26[111:EOZMDP]2.0.CO;2,29,4.83,,,None,Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Cassey, P., J. L. Lockwood, and K. H. Fenn. 2007. Using long-term occupancy information to inform the management of Cape Sable seaside sparrows in the Everglades. Biological Conservation 139:139–149.",Cassey,BIOL CONSERV,2007,1981,2005,15,terrestrial,USA,USA,10.1016/j.biocon.2007.06.010,5,0.83,1,Using long-term surveys to inform management,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Strayer, D.L. and H.M. Malcom. 2007. Effects of zebra mussels (Dreissena polymorpha) on native bivalves: The beginning of the end or the end of the beginning? Journal of the North American Benthological Society 26(1):111-122.",Strayer,J N AM BENTHOL SOC,2007,1990,2005,16,freshwater,USA,USA,10.1899/0887-3593(2007)26[111:EOZMDP]2.0.CO;2,30,,1,effect of zebra mussels on native bivalves,NA,ALL,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Rothschild, B.J., J.S. Ault, P. Goulletquer, and M. Heral. 1994. Decline of the Chesapeake Bay oyster population: A century of habitat destruction and overfishing. Marine Ecology
Progress Series 111:29-39.",Rothschild,MAR ECOL PROG SER,1994,1907,1990,16,marine,USA,USA,10.3354/meps111029,187,9.84,1,What are the trends in the oyster population of Chesapeake Bay for last 100 years?,None,Barner,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Le Gall, J.Y., P. Bosc, D. Chateau, and M. Taquet. 1986. An estimation of the number of adult females of green turtles Chelonia mydas per nesting season at Tromelin and Europa (Indian Ocean) (1973–1985). Oceanographique Tropicale 21(1):3­22.",Le Gall,OCÉANOGR TROP,1986,1970,1985,16,marine,France,Indian Ocean,NA,NA,NA,0,Sea turtle nesting estimation,"French paper, but English abstract and table and figure captions. I feel pretty confident of the years.",Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Marcovaldi, M.A. and M. Chaloupka. 2007. Conservation status of the loggerhead sea turtle in Brazil: An encouraging outlook. Endangered Species Research 3:133­143.",Marcovaldi,ENDANG SPECIES RES,2007,1988,2003,16,marine,Brazil,Brazil,NA,,,1,nesting abundance and genetic stock of atlantic loggerhead turtles,None,Focht,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Lyons, M.M., R. Smolowitz, M. Gomez-Chiarri, and J.E. Ward. 2007. Epizootiology of quahog
parasite unknown (QPX) disease in northern quahogs (= hard clams) Mercenaria
mercenaria.
Journal of Shellfish Research 26(2):371-381.",Lyons,J SHELL RES,2007,1990,2005,16,marine,USA,Canada/USA,NA,4,0.67,0,Disease dynamics in quahog clams,None,Close,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Thomson, D.L., S.R. Baillie, and W.J. Peach. 1997. The demography and age­specific annual survival of song thrushes during periods of population stability and decline. Journal of
Animal Ecology 66(3):414­424.",Thomson,J ANIM ECOL,1997,1977,1992,16,terrestrial,England,England,10.2307/5986,59,3.69,,The demography and age­specific annual survival of song thrushes during periods of population stability and decline.,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Wu, K.-M., Y.-H. Lu, H.-Q. Feng, Y.-Y. Jiang, and J.-Z. Zhao. 2008. Suppression of cotton bollworm in multiple crops in China in areas with Bt toxin-containing cotton. Science 321(5896): 1676–1678.",Wu,SCIENCE,2008,1992,2007,16,terrestrial,China,China,10.1126/science.1160550,211,,1,,Excellent Long-term Example!,Rose,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Liebig, M.A., D.L. Tanaka, and B.J. Wienhold. 2004. Tillage and cropping effects on soil
quality
indicators in the northern Great Plains. Soil and Tillage Research 78(2):131–141",Liebig,SOIL TIL RES,2004,1984,2001,17,terrestrial,USA,USA,10.1016/j.still.2004.02.002,,,0,"What are the effects of tillage, crop sequence and cropping intensity on soil quality indicators?",None,Reimer,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Frazer, N.B. 1983. Survivorship of adult female loggerhead sea turtles, Caretta caretta, nesting on Little Cumberland Island, Georgia, USA. Herpetologica 39(4):436­447.",Frazer,HERPETOLOGICA,1983,1964,1981,18,marine,USA,USA,NA,40,1.33,1,Survivorship of loggerhead turtles,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bjorndal, K.A., A.B. Bolten, and M. Chaloupka. 2005. Evaluating trends in abundance of immature green turtles, Chelonia mydas, in the greater Caribbean. Ecological Applications 15(1):304­314.",Bjorndal,ECOL APPL,2000,1979,1996,18,marine,USA,Bahamas,http://dx.doi.org/10.1890/1051-0761(2000)010[0269:GTSGME]2.0.CO;2,12,0.92,0,immature green turtle abundance in the greater Caribbean,NA,Hettinger,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bjorndal, K.A., A.B. Bolten, and M. Chaloupka. 2000b. Green turtle somatic growth model: Evidence for density dependence. Ecological Applications 10(1):269­282.",Bjorndal,ECOL APPL,2000,1979,1996,18,marine,USA,Bahamas,10.2307/2641001,111,,1,density dependence over time,NA,Rohrer,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Smaal, A., M. van Stralen, and E. Schuiling. 2001. The interaction between shellfish culture and ecosystem processes. Canadian Journal of Fisheries and Aquatic Sciences 58(5):991-1002.",Smaal,CAN J FISH AQUAT SCI,2001,1980,1997,18,marine,NED,NED,10.1139/cjfas-58-5-991,36,,1,,Excellent Long-term Example!,Rose,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Richardson, J.I., D.B. Hall, P.A. Mason, K.M. Andrews, R. Bjorkland, Y. Cai, and R. Bell.
2006. Eighteen years of saturation tagging data reveal a significant increase in nesting hawksbill sea turtles (Eretmochelys imbricata) on Long Island, Antigua. Animal Conservation 9:302­307.",Richardson,ANIM CONSERV,2006,1987,2004,18,marine,USA,Antigua/Caribbean,10.1111/j.1469-1795.2006.00036.x,23,3.29,1,What is the population trend of nesting Hawksbill Sea Turtles over 18 years?,NA,Cerny-Chipman,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Witherington, B.E., P. Kubilis, B. Brost, and A.B. Meylan. 2009. Decreasing annual nest counts in a globally important loggerhead sea turtle population. Ecological Applications 19(1):30­54.",Witherington,ECOL APPL,2009,1989,2006,18,marine,USA,USA,10.1890/08-0434.1,43,10.75,1,What is the change in nest counts of loggerhead sea turtles over 18 yrs in Florida?,NA,Cerny-Chipman,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Snyder, N. F. R., S. R. Beissinger, and R. E. Chandler. 1989. Reproduction and demography of the Florida Everglade (Snail) Kite. Condor 91:300–316.",Snyder,CONDOR,1989,1966,1983,18,terrestrial,USA,USA,10.2307/1368308,28,,1,,Excellent Long-term Example!,Rose,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Miholcsa, T., A. Toth, and T. Csorgo. 2009. Change of timing of autumn migration in acrocephalus and locustella genus. Acta Zoologica Academiae Scientiarum Hungaricae 55
(2):175-185.",Miholcsa,ACTA ZOOL ACAD SCI H,2009,1987,2004,18,terrestrial,Hungary,Hungary,NA,3,0.75,1,Has migration timing changed over the long term in birds?,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Frazer, N.B. and J.I. Richardson. 1985. Seasonal variation in clutch size for loggerhead sea turtles, Caretta caretta, nesting on Little Cumberland Island, Georgia, USA. Copeia 1985:1083­1085.",Frazer,COPEIA,1985,1965,1983,19,marine,USA,USA,NA,10,,1,Seasonal variation in clutch size for loggerhead sea turtles,None,Shen,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean (2010),"Tsurumi, M., D.L. Mackas, F.A. Whitney, C. DiBacco, M.D. Galbraith, and C.S. Wong. 2005. Pteropods, eddies, carbon flux, and climate variability in the Alaska Gyre. Deep Sea Research Part II: Topical Studies in Oceanography 52(7-8): 1037-1053.",Tsurumi,DEEP-SEA RES PT II,2005,1983,2001,19,Marine,Canada,Canada,10.1016/j.dsr2.2005.02.005,14,,0,species abundance due to climatic variability,NA,Rohrer,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Dethmers, K.E.M., D. Broderick, C. Moritz, N.N. FitzSimmons, C.J. Limpus, S. Lavery, S. Whiting, M. Guinea, R.I.T. Prince, and R. Kennet. 2006. The genetic structure of Australasian green turtles (Chelonia mydas): Exploring the geographical scale of genetic exchange. Molecular Ecology 15(13):3931­3946.",Dethmers,MOL ECOL,2006,1987,2000,19,marine,Australia,Global,10.1111/j.1365-294X.2006.03070.x,32,4.57,0,What geographic scale of populations of the green sea turtle (using genetics)?,Data may be from many sources,Cerny-Chipman,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
